STATION,NAME,DATE,TMAX,TMIN
USW00014838,"MARQUETTE, MI US",2021-01-01,30,17
USW00014838,"MARQUETTE, MI US",2021-01-02,30,17
USW00014838,"MARQUETTE, MI US",2021-01-03,28,21
USW00014838,"MARQUETTE, MI US",2021-01-04,37,21
USW00014838,"MARQUETTE, MI US",2021-01-05,34,21
USW00014838,"MARQUETTE, MI US",2021-01-06,38,31
USW00014838,"MARQUETTE, MI US",2021-01-07,35,32
USW00014838,"MARQUETTE, MI US",2021-01-08,33,28
USW00014838,"MARQUETTE, MI US",2021-01-09,32,29
USW00014838,"MARQUETTE, MI US",2021-01-10,31,28
USW00014838,"MARQUETTE, MI US",2021-01-11,33,23
USW00014838,"MARQUETTE, MI US",2021-01-12,31,24
USW00014838,"MARQUETTE, MI US",2021-01-13,32,24
USW00014838,"MARQUETTE, MI US",2021-01-14,34,25
USW00014838,"MARQUETTE, MI US",2021-01-15,36,31
USW00014838,"MARQUETTE, MI US",2021-01-16,35,32
USW00014838,"MARQUETTE, MI US",2021-01-17,33,27
USW00014838,"MARQUETTE, MI US",2021-01-18,29,24
USW00014838,"MARQUETTE, MI US",2021-01-19,29,17
USW00014838,"MARQUETTE, MI US",2021-01-20,18,8
USW00014838,"MARQUETTE, MI US",2021-01-21,37,8
USW00014838,"MARQUETTE, MI US",2021-01-22,35,9
USW00014838,"MARQUETTE, MI US",2021-01-23,35,9
USW00014838,"MARQUETTE, MI US",2021-01-24,23,15
USW00014838,"MARQUETTE, MI US",2021-01-25,28,11
USW00014838,"MARQUETTE, MI US",2021-01-26,23,14
USW00014838,"MARQUETTE, MI US",2021-01-27,21,13
USW00014838,"MARQUETTE, MI US",2021-01-28,16,11
USW00014838,"MARQUETTE, MI US",2021-01-29,17,10
USW00014838,"MARQUETTE, MI US",2021-01-30,22,10
USW00014838,"MARQUETTE, MI US",2021-01-31,29,17
USW00014838,"MARQUETTE, MI US",2021-02-01,29,25
USW00014838,"MARQUETTE, MI US",2021-02-02,31,25
USW00014838,"MARQUETTE, MI US",2021-02-03,29,19
USW00014838,"MARQUETTE, MI US",2021-02-04,36,19
USW00014838,"MARQUETTE, MI US",2021-02-05,37,17
USW00014838,"MARQUETTE, MI US",2021-02-06,17,5
USW00014838,"MARQUETTE, MI US",2021-02-07,11,-7
USW00014838,"MARQUETTE, MI US",2021-02-08,6,-7
USW00014838,"MARQUETTE, MI US",2021-02-09,7,-7
USW00014838,"MARQUETTE, MI US",2021-02-10,9,-6
USW00014838,"MARQUETTE, MI US",2021-02-11,10,-2
USW00014838,"MARQUETTE, MI US",2021-02-13,13,2
USW00014838,"MARQUETTE, MI US",2021-02-14,10,-3
USW00014838,"MARQUETTE, MI US",2021-02-15,4,-8
USW00014838,"MARQUETTE, MI US",2021-02-16,8,-5
USW00014838,"MARQUETTE, MI US",2021-02-17,15,6
USW00014838,"MARQUETTE, MI US",2021-02-18,20,8
USW00014838,"MARQUETTE, MI US",2021-02-19,21,13
USW00014838,"MARQUETTE, MI US",2021-02-20,22,6
USW00014838,"MARQUETTE, MI US",2021-02-21,21,9
USW00014838,"MARQUETTE, MI US",2021-02-22,34,15
USW00014838,"MARQUETTE, MI US",2021-02-23,41,26
USW00014838,"MARQUETTE, MI US",2021-02-24,42,30
USW00014838,"MARQUETTE, MI US",2021-02-25,31,16
USW00014838,"MARQUETTE, MI US",2021-02-26,31,21
USW00014838,"MARQUETTE, MI US",2021-02-27,42,23
USW00014838,"MARQUETTE, MI US",2021-02-28,42,28
USW00014838,"MARQUETTE, MI US",2021-03-01,32,11
USW00014838,"MARQUETTE, MI US",2021-03-02,32,9
USW00014838,"MARQUETTE, MI US",2021-03-03,45,18
USW00014838,"MARQUETTE, MI US",2021-03-04,30,22
USW00014838,"MARQUETTE, MI US",2021-03-05,27,22
USW00014838,"MARQUETTE, MI US",2021-03-06,32,22
USW00014838,"MARQUETTE, MI US",2021-03-07,27,16
USW00014838,"MARQUETTE, MI US",2021-03-08,41,21
USW00014838,"MARQUETTE, MI US",2021-03-09,49,31
USW00014838,"MARQUETTE, MI US",2021-03-10,50,31
USW00014838,"MARQUETTE, MI US",2021-03-11,49,33
USW00014838,"MARQUETTE, MI US",2021-03-12,49,22
USW00014838,"MARQUETTE, MI US",2021-03-13,30,21
USW00014838,"MARQUETTE, MI US",2021-03-14,57,30
USW00014838,"MARQUETTE, MI US",2021-03-15,31,21
USW00014838,"MARQUETTE, MI US",2021-03-16,37,22
USW00014838,"MARQUETTE, MI US",2021-03-17,35,30
USW00014838,"MARQUETTE, MI US",2021-03-18,39,34
USW00014838,"MARQUETTE, MI US",2021-03-19,36,23
USW00014838,"MARQUETTE, MI US",2021-03-20,56,25
